,정류장_ID,정류장_명칭,정류장_유형,정류장_번호,위도,경도,geometry,sgg_oid,jibun,pnu,index_right,ADM_DR_CD,ADM_DR_NM
69014,104900105,프라임아파트앞,마을버스,5538,127.096754,37.538008,POINT (127.096754 37.538008),106473,623-1 도,1121510300106230001,74,1105062,구의3동
69249,104000070,현대2단지,일반차로,5163,127.096666,37.537962,POINT (127.096666 37.537962),106473,623-1 도,1121510300106230001,74,1105062,구의3동
69016,104900103,동서울호텔앞,마을버스,5585,127.092069,37.534535,POINT (127.092069 37.534535),106477,607 도,1121510300106070000,74,1105062,구의3동
69017,104900102,미니스톱구의중앙점앞,마을버스,5555,127.090016,37.541551,POINT (127.090016 37.541551),87950,224-27대,1121510300102240027,74,1105062,구의3동
69018,104900101,금호아파트앞,마을버스,5570,127.093241,37.543359,POINT (127.093241 37.543359),87129,202-1대,1121510300102020001,74,1105062,구의3동
69248,104000071,올림픽대교북단사거리,일반차로,5164,127.09321,37.543393,POINT (127.09321 37.543393),87129,202-1대,1121510300102020001,74,1105062,구의3동
69019,104900100,구의역,마을버스,5550,127.089237,37.538239,POINT (127.089237 37.538239),89416,244-50대,1121510300102440050,74,1105062,구의3동
69020,104900099,구의아크로리버앞,마을버스,5579,127.092136,37.535293,POINT (127.092136 37.535293),89857,594-2대,1121510300105940002,74,1105062,구의3동
69022,104900097,강변역A,마을버스,5582,127.093633,37.53588,POINT (127.093633 37.53588),89785,546-7대,1121510300105460007,74,1105062,구의3동
69140,104000280,강변역B,일반차로,5266,127.093535,37.535975,POINT (127.093535 37.535975),89785,546-7대,1121510300105460007,74,1105062,구의3동
69143,104000276,동서울터미널.테크노마트.강변,중앙차로,78645,127.093535,37.535975,POINT (127.093535 37.535975),89785,546-7대,1121510300105460007,74,1105062,구의3동
69163,104000183,강변역A,일반차로,5161,127.0935,37.536026,POINT (127.0935 37.536026),89785,546-7대,1121510300105460007,74,1105062,구의3동
69042,104900077,테크노마트.광진문화원,마을버스,5721,127.096101,37.537021,POINT (127.096101 37.537021),89247,631-1대,1121510300106310001,74,1105062,구의3동
69044,104900075,프라임아파트앞,마을버스,5724,127.097032,37.537838,POINT (127.097032 37.537838),89247,631-1대,1121510300106310001,74,1105062,구의3동
69086,104900032,구의홈마트앞,마을버스,5560,127.089723,37.54029,POINT (127.089723 37.54029),88472,223-65대,1121510300102230065,74,1105062,구의3동
69093,104900025,래미안구의파크스위트사거리,마을버스,5565,127.0906,37.544049,POINT (127.0906 37.544049),86763,228-15대,1121510300102280015,74,1105062,구의3동
69122,104000303,구의3동주민센터,일반차로,5273,127.09216,37.539357,POINT (127.09216 37.539357),88939,659대,1121510300106590000,74,1105062,구의3동
69123,104000302,구의3동주민센터,일반차로,5272,127.092632,37.538897,POINT (127.092632 37.538897),89134,218-12대,1121510300102180012,74,1105062,구의3동
69135,104000289,동서울터미널,중앙차로,78647,127.093474,37.534729,POINT (127.093474 37.534729),89860,546-1대,1121510300105460001,74,1105062,구의3동
69136,104000288,동서울터미널,중앙차로,78646,127.092712,37.534054,POINT (127.092712 37.534054),89860,546-1대,1121510300105460001,74,1105062,구의3동
69251,104000065,광진우체국,일반차로,5158,127.090409,37.537998,POINT (127.090409 37.537998),89495,245-21대,1121510300102450021,74,1105062,구의3동
69252,104000064,현대아파트앞,일반차로,5157,127.094254,37.539585,POINT (127.094254 37.539585),172722,199-97 도,1121510300101990097,74,1105062,구의3동
69253,104000063,현대아파트앞,일반차로,5156,127.094009,37.539552,POINT (127.094009 37.539552),85677,213-16 도,1121510300102130016,74,1105062,구의3동
68988,104900132,용마사거리,마을버스,5994,127.082348,37.561869,POINT (127.082348 37.561869),77149,41-35대,1121510100100410035,68,1105056,중곡2동
69000,104900120,용마초등학교,마을버스,5991,127.081814,37.556509,POINT (127.081814 37.556509),81135,272-12도,1121510100102720012,68,1105056,중곡2동
69311,104000003,군자역.용마초등학교,중앙차로,5003,127.082473,37.556099,POINT (127.082473 37.556099),81135,272-12도,1121510100102720012,68,1105056,중곡2동
69031,104900088,장군갈비앞,마을버스,5532,127.088258,37.554852,POINT (127.088258 37.554852),82216,117-11대,1121510100101170011,68,1105056,중곡2동
69168,104000167,중곡동입구,일반차로,5260,127.088262,37.554799,POINT (127.088262 37.554799),82216,117-11대,1121510100101170011,68,1105056,중곡2동
69033,104900086,국민은행앞,마을버스,5746,127.087652,37.558431,POINT (127.087652 37.558431),80143,124-22대,1121510100101240022,68,1105056,중곡2동
69035,104900084,중곡2동주민센터앞,마을버스,5546,127.08121,37.559939,POINT (127.08121 37.559939),78722,47-19대,1121510100100470019,68,1105056,중곡2동
69036,104900083,국민은행앞,마을버스,5750,127.087011,37.559844,POINT (127.087011 37.559844),78738,279-1도,1121510100102790001,68,1105056,중곡2동
70282,101000252,신성시장앞,일반차로,5118,127.087676,37.558316,POINT (127.087676 37.558316),106492,266-5 도,1121510100102660005,68,1105056,중곡2동
69056,104900062,중곡우체국앞,마을버스,5751,127.083937,37.561514,POINT (127.083937 37.561514),137813,277-1 도,1121510100102770001,68,1105056,중곡2동
69290,104000026,중곡우체국앞,일반차로,5119,127.083987,37.561489,POINT (127.083987 37.561489),137813,277-1 도,1121510100102770001,68,1105056,중곡2동
69062,104900056,구.새마을금고앞,마을버스,5512,127.087171,37.561442,POINT (127.087171 37.561442),77500,150-115대,1121510100101500115,68,1105056,중곡2동
69075,104900043,찬양교회,마을버스,5537,127.086654,37.554581,POINT (127.086654 37.554581),106493,272-14 도,1121510100102720014,68,1105056,중곡2동
69309,104000005,중곡동입구삼거리,중앙차로,5005,127.086551,37.554497,POINT (127.086551 37.554497),106493,272-14 도,1121510100102720014,68,1105056,중곡2동
69077,104900041,중곡우체국앞,마을버스,5540,127.084058,37.561164,POINT (127.084058 37.561164),77812,340-34대,1121510100103400034,68,1105056,중곡2동
69079,104900039,군자역,마을버스,5542,127.080082,37.557875,POINT (127.080082 37.557875),80534,158-19대,1121510100101580019,68,1105056,중곡2동
69085,104900033,중곡보건지소,마을버스,5554,127.087075,37.559531,POINT (127.087075 37.559531),79175,125-2대,1121510100101250002,68,1105056,중곡2동
69294,104000021,중곡동성당앞,일반차로,5114,127.082847,37.56309,POINT (127.082847 37.56309),106494,273-1 도,1121510100102730001,68,1105056,중곡2동
69291,104000024,중곡보건지소,일반차로,5117,127.087383,37.559957,POINT (127.087383 37.559957),78764,56-7대,1121510100100560007,68,1105056,중곡2동
69292,104000023,중곡동종점,일반차로,5116,127.087062,37.562073,POINT (127.087062 37.562073),76733,150-103도,1121510100101500103,68,1105056,중곡2동
69293,104000022,종합의료복합단지,일반차로,5115,127.08336,37.563888,POINT (127.08336 37.563888),76001,31-7대,1121510100100310007,68,1105056,중곡2동
69295,104000020,중곡2동주민센터앞,일반차로,5113,127.081155,37.55984,POINT (127.081155 37.55984),78878,47-17대,1121510100100470017,68,1105056,중곡2동
68992,104900128,중곡아파트.기점,마을버스,5511,127.078227,37.566996,POINT (127.078227 37.566996),74737,190-26대,1121510100101900026,69,1105057,중곡3동
68995,104900125,중곡119안전센터,마을버스,5755,127.086244,37.566757,POINT (127.086244 37.566757),106489,266-1 도,1121510100102660001,69,1105057,중곡3동
69058,104900060,용암사입구,마을버스,5502,127.086117,37.567515,POINT (127.086117 37.567515),106489,266-1 도,1121510100102660001,69,1105057,중곡3동
69275,104000041,대원고교앞,일반차로,5134,127.086709,37.563966,POINT (127.086709 37.563966),106489,266-1 도,1121510100102660001,69,1105057,중곡3동
69278,104000038,용암사입구,일반차로,5131,127.086057,37.567916,POINT (127.086057 37.567916),106489,266-1 도,1121510100102660001,69,1105057,중곡3동
69032,104900087,대원외고앞,마을버스,5507,127.086698,37.563994,POINT (127.086698 37.563994),75923,28-26대,1121510100100280026,69,1105057,중곡3동
69034,104900085,중곡아파트.종점,마을버스,5501,127.077916,37.566379,POINT (127.077916 37.566379),105354,190-29 대,1121510100101900029,69,1105057,중곡3동
69287,104000029,중곡아파트,일반차로,5122,127.0779,37.566401,POINT (127.0779 37.566401),105354,190-29 대,1121510100101900029,69,1105057,중곡3동
69145,104000274,종합의료복합단지,일반차로,5269,127.083395,37.564527,POINT (127.083395 37.564527),106494,273-1 도,1121510100102730001,69,1105057,중곡3동
69146,104000273,중곡역.국립정신건강센터,일반차로,5270,127.084325,37.566229,POINT (127.084325 37.566229),106494,273-1 도,1121510100102730001,69,1105057,중곡3동
69147,104000272,용곡삼거리,일반차로,5271,127.0856,37.568578,POINT (127.0856 37.568578),74069,169-10대,1121510100101690010,69,1105057,중곡3동
69159,104000248,면곡시장,일반차로,5687,127.081375,37.571462,POINT (127.081375 37.571462),72951,580-1대,1121510100105800001,69,1105057,중곡3동
69276,104000040,중곡역.국립정신건강센터,일반차로,5133,127.084545,37.566046,POINT (127.084545 37.566046),247480,30-81 도,1121510100100300081,69,1105057,중곡3동
69277,104000039,용곡삼거리,일반차로,5132,127.08559,37.567933,POINT (127.08559 37.567933),74282,29-56대,1121510100100290056,69,1105057,중곡3동
69279,104000037,면곡시장앞,일반차로,5130,127.083418,37.57089,POINT (127.083418 37.57089),73097,555-4대,1121510100105550004,69,1105057,중곡3동
69280,104000036,면곡시장앞,일반차로,5129,127.083137,37.570635,POINT (127.083137 37.570635),73191,558-2대,1121510100105580002,69,1105057,중곡3동
69281,104000035,중곡3동주민센터앞,일반차로,5128,127.082642,37.568492,POINT (127.082642 37.568492),172497,264-6 도,1121510100102640006,69,1105057,중곡3동
69283,104000033,중곡역입구,일반차로,5126,127.081741,37.566853,POINT (127.081741 37.566853),172497,264-6 도,1121510100102640006,69,1105057,중곡3동
69282,104000034,중곡3동주민센터앞,일반차로,5127,127.082885,37.568635,POINT (127.082885 37.568635),222129,200 도,1121510100102000000,69,1105057,중곡3동
69284,104000032,중곡역입구,일반차로,5125,127.081615,37.56634,POINT (127.081615 37.56634),75047,193-59대,1121510100101930059,69,1105057,중곡3동
69285,104000031,중마초등학교.중곡제일골목시장앞,일반차로,5124,127.080997,37.565497,POINT (127.080997 37.565497),74958,264-5도,1121510100102640005,69,1105057,중곡3동
69288,104000028,면곡시장,일반차로,5121,127.079583,37.570277,POINT (127.079583 37.570277),111569,263-1 도,1121510100102630001,69,1105057,중곡3동
69289,104000027,면곡시장,일반차로,5120,127.079729,37.569746,POINT (127.079729 37.569746),73576,181-13대,1121510100101810013,69,1105057,중곡3동
69298,104000016,중마초등학교.중곡제일골목시장앞,일반차로,5109,127.080993,37.565214,POINT (127.080993 37.565214),75440,193-51대,1121510100101930051,69,1105057,중곡3동
68996,104900124,중곡4동경로당입구앞,마을버스,5500,127.093963,37.559131,POINT (127.093963 37.559131),79291,438-2도,1121510100104380002,70,1105058,중곡4동
69063,104900055,CU중곡긴고랑점앞,마을버스,5513,127.093031,37.558916,POINT (127.093031 37.558916),79291,438-2도,1121510100104380002,70,1105058,중곡4동
69066,104900052,중곡4동어린이집입구,마을버스,5518,127.091704,37.558685,POINT (127.091704 37.558685),79291,438-2도,1121510100104380002,70,1105058,중곡4동
68997,104900123,강원설비앞,마을버스,5505,127.090136,37.559003,POINT (127.090136 37.559003),79290,452-1도,1121510100104520001,70,1105058,중곡4동
69069,104900049,긴고랑입구,마을버스,5523,127.088669,37.558877,POINT (127.088669 37.558877),79290,452-1도,1121510100104520001,70,1105058,중곡4동
68998,104900122,강원설비앞,마을버스,5506,127.089935,37.558849,POINT (127.089935 37.558849),79795,77-1대,1121510100100770001,70,1105058,중곡4동
68999,104900121,중곡4동경로당입구앞,마을버스,5510,127.094281,37.559193,POINT (127.094281 37.559193),79509,74-63대,1121510100100740063,70,1105058,중곡4동
69030,104900089,중앙상회앞,마을버스,5508,127.094797,37.560159,POINT (127.094797 37.560159),137819,437-1 도,1121510100104370001,70,1105058,중곡4동
