,x_index,y_index,격자 당 경로당 수,행정동,격자 당 어린이 보육시설 수,유아비율(%),노인비율(%),kmeans_label,중심점,geometry,x,y
331,19,4,0,중곡4동,0,3.146067415730337,19.30087390761548,0,POINT (964687.9999999998 1951807.9999999998),"POLYGON ((964587.9999999995 1951907.9999999998, 964787.9999999998 1951908.0000000005, 964787.9999999995 1951708, 964587.9999999997 1951708, 964587.9999999995 1951907.9999999998))",964687.9999999998,1951808.0
332,19,5,0,중곡4동,0,3.146067415730337,19.30087390761548,0,POINT (964687.9999999994 1951608.0000000005),"POLYGON ((964587.9999999997 1951708, 964787.9999999995 1951708, 964787.9999999991 1951508.000000001, 964587.9999999995 1951508.000000001, 964587.9999999997 1951708))",964687.9999999994,1951608.0000000005
333,19,6,0,중곡4동,0,3.146067415730337,19.30087390761548,0,POINT (964687.9999999994 1951407.9999999998),"POLYGON ((964587.9999999995 1951508.000000001, 964787.9999999991 1951508.000000001, 964788.0000000002 1951308.0000000005, 964587.999999999 1951307.999999999, 964587.9999999995 1951508.000000001))",964687.9999999994,1951408.0
334,19,7,0,중곡4동,0,3.146067415730337,19.30087390761548,0,POINT (964687.9999999998 1951208.0000000002),"POLYGON ((964587.999999999 1951307.999999999, 964788.0000000002 1951308.0000000005, 964788.0000000002 1951108, 964587.9999999995 1951108.0000000007, 964587.999999999 1951307.999999999))",964687.9999999998,1951208.0
335,20,0,0,중곡4동,0,3.146067415730337,19.30087390761548,0,POINT (964888.0000000003 1952608.0000000007),"POLYGON ((964788.0000000006 1952708.0000000016, 964988.0000000003 1952708.0000000002, 964988.0000000009 1952507.9999999998, 964788 1952508.0000000005, 964788.0000000006 1952708.0000000016))",964888.0000000003,1952608.0000000007
336,20,1,0,중곡4동,0,3.146067415730337,19.30087390761548,0,POINT (964888.0000000002 1952408),"POLYGON ((964788 1952508.0000000005, 964988.0000000009 1952507.9999999998, 964988.0000000001 1952308.0000000007, 964788.0000000007 1952307.9999999993, 964788 1952508.0000000005))",964888.0000000002,1952408.0
337,20,2,0,중곡4동,0,3.146067415730337,19.30087390761548,0,POINT (964888.0000000003 1952208.0000000005),"POLYGON ((964788.0000000007 1952307.9999999993, 964988.0000000001 1952308.0000000007, 964987.9999999999 1952108.000000001, 964788 1952108.000000001, 964788.0000000007 1952307.9999999993))",964888.0000000003,1952208.0000000005
338,20,3,0,중곡4동,0,3.146067415730337,19.30087390761548,0,POINT (964888.0000000001 1952008.0000000005),"POLYGON ((964788 1952108.000000001, 964987.9999999999 1952108.000000001, 964987.9999999999 1951907.9999999998, 964787.9999999998 1951908.0000000005, 964788 1952108.000000001))",964888.0,1952008.0000000005
339,20,4,0,중곡4동,0,3.146067415730337,19.30087390761548,0,POINT (964887.9999999997 1951808.0000000002),"POLYGON ((964787.9999999998 1951908.0000000005, 964987.9999999999 1951907.9999999998, 964987.9999999999 1951708, 964787.9999999995 1951708, 964787.9999999998 1951908.0000000005))",964887.9999999997,1951808.0
340,20,5,0,중곡4동,0,3.146067415730337,19.30087390761548,0,POINT (964887.9999999997 1951608.0000000007),"POLYGON ((964787.9999999995 1951708, 964987.9999999999 1951708, 964987.9999999993 1951508.000000001, 964787.9999999991 1951508.000000001, 964787.9999999995 1951708))",964887.9999999997,1951608.0000000007
