,사용년월,표준버스정류장ID,버스정류장ARS번호,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,행정동,역명
10,11,101000252,5118,3613.866666666667,0.0,0.0,0.0,9647.5,21793.733333333334,38110.206896551725,75908.4,107075.1,87863.53333333334,63553.46666666667,56799.9,57622.5,55610.26666666666,45544.8,44700.0,49097.42857142857,49635.35714285714,61094.357142857145,43158.620689655174,32760.0,25306.068965517243,16947.206896551725,7728.827586206897,중곡2동,신성시장앞
11,12,101000252,5118,2492.7999999999997,0.0,0.0,0.0,7084.0,20960.5,35720.0,63936.90000000001,94934.7,86776.5,60642.399999999994,58976.0,55000.00000000001,62915.4,55458.4,54198.0,52003.0,62661.99999999999,69249.6,46389.6,31764.5,24471.2,18466.5,7164.900000000001,중곡2동,신성시장앞
12,1,104000001,5001,9953.793103448275,6976.666666666666,1307.25,1914.8518518518517,12385.153846153848,29685.655172413793,44612.68965517241,85247.31034482758,177854.4827586207,104078.62068965517,88130.20689655172,82293.20689655172,83599.1379310345,87342.3448275862,80331.72413793104,73772.41379310345,78986.44827586206,95171.79310344828,112251.58620689655,86139.00000000001,65081.82758620689,87614.48275862068,50494.93103448276,22552.2,중곡1동,군자교입구
13,2,104000001,5001,9093.333333333334,5519.166666666666,852.2222222222222,1694.2173913043478,11853.625,22385.16,33299.0,62400.0,143093.70370370368,82091.11111111111,65016.0,61637.333333333336,68342.96296296296,78616.74074074074,69829.81481481482,66157.25925925926,63725.777777777774,76196.74074074073,90390.74074074073,69754.66666666666,51583.2962962963,64402.96296296296,52602.5925925926,25919.384615384617,중곡1동,군자교입구
14,3,104000001,5001,12882.0,6160.0,1282.6666666666667,2224.7999999999997,12132.0,22531.833333333336,35452.083333333336,73765.625,141142.32,88137.73913043477,57861.434782608696,61967.5,56234.18181818182,58265.260869565216,48678.545454545456,56305.80952380953,61239.19047619047,69886.59090909091,87190.09090909091,65564.375,42630.08333333333,39121.0,42128.96,30221.125,중곡1동,군자교입구
15,4,104000001,5001,22790.0,9908.666666666668,1281.0,2931.4285714285716,14735.0,30473.625,46862.48,94088.07692307694,173928.46153846153,100942.30769230769,76403.07692307692,63459.80769230769,65006.74074074074,65928.03846153847,55375.44,54312.41666666667,60627.27272727273,61246.95652173913,66384.34782608696,63643.30434782609,52942.5,49932.0,55024.30769230769,41365.72,중곡1동,군자교입구
16,5,104000001,5001,8970.0,4403.4,765.6,1333.3333333333335,6063.0,13050.0,21172.545454545456,46233.72727272727,78746.36363636363,46911.5,30728.608695652172,28059.652173913044,33822.82608695652,27954.227272727272,24030.0,23874.26086956522,30234.782608695652,27208.260869565216,30627.333333333336,24121.521739130436,20910.0,20693.181818181816,18528.363636363636,14754.782608695654,중곡1동,군자교입구
17,6,104000001,5001,6781.034482758621,3000.0,868.0,1542.25,4691.44,12424.5,20905.55555555556,43139.0,73344.10344827586,51537.2,39820.799999999996,38365.86666666667,38528.399999999994,42724.137931034486,36815.58620689655,39098.75862068966,52872.0,42392.48275862069,53401.3448275862,38809.1724137931,28362.413793103446,30266.06896551724,27425.51724137931,16515.620689655174,중곡1동,군자교입구
18,7,104000001,5001,9109.548387096773,3878.375,1656.0,1856.0000000000002,8269.714285714286,18396.93333333333,29272.428571428572,56893.74193548387,105950.58064516129,65291.67741935483,47049.161290322576,44721.4,41457.5,41141.24137931035,41108.6,40982.80645161291,45615.32258064517,63589.06666666667,65875.64516129033,52417.77419354839,41677.354838709674,39988.93548387097,34768.967741935485,23723.322580645163,중곡1동,군자교입구
19,8,104000001,5001,3771.36,2360.0,565.6153846153846,1419.4285714285713,3558.541666666667,6262.8,11779.320000000002,20511.076923076922,42442.30769230769,37242.96,29871.464285714286,34251.25,21323.076923076926,23868.0,29985.535714285714,25603.96153846154,23857.44,30846.920000000002,29121.960000000003,31897.846153846152,13911.23076923077,14080.0,19891.428571428572,9189.407407407407,중곡1동,군자교입구
20,9,104000001,5001,3325.3333333333335,1731.7142857142858,82.66666666666666,843.75,2954.538461538462,7177.933333333333,9590.4,20940.0,43666.75862068966,26171.724137931036,20491.172413793105,20683.79310344828,22101.0,34033.57142857143,27118.666666666668,23140.379310344826,19862.310344827587,27564.482758620692,32243.586206896554,32393.5,23050.86666666667,20754.666666666668,17733.8,13884.133333333333,중곡1동,군자교입구
21,10,104000001,5001,7633.935483870968,2656.625,1034.0,909.3333333333334,5852.903225806452,11549.290322580646,17888.0,36503.0,70161.29032258065,45574.25806451613,31422.8,34333.75,34874.8064516129,38469.6551724138,26065.862068965518,27366.0,30228.741935483868,37012.41935483871,55521.290322580644,41435.2,31470.600000000002,33545.80645161291,33014.032258064515,16681.290322580644,중곡1동,군자교입구
