,사용년월,표준버스정류장ID,버스정류장ARS번호,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,행정동
1816,7,104900037,5544,0.0,0.0,0.0,0.0,0.0,0.0,3360.933333333333,6888.870967741936,12742.129032258066,7812.5161290322585,4752.8064516129025,4530.133333333333,7025.25,5635.793103448275,5698.533333333334,6006.580645161291,7932.903225806452,9555.0,11434.612903225807,9665.933333333332,5785.392857142857,4693.923076923076,4457.115384615385,2703.3548387096776,자양3동
1817,7,104900038,5543,0.0,0.0,0.0,0.0,0.0,0.0,14010.58620689655,48182.35483870968,59428.90322580645,32770.903225806454,19438.516129032258,18361.2,22741.714285714286,20652.41379310345,18628.2,19578.000000000004,25958.451612903227,26527.2,28201.161290322583,20701.03225806452,16107.6,13553.214285714284,11649.655172413792,2846.064516129032,구의3동
1818,7,104900039,5542,0.0,0.0,0.0,0.0,0.0,0.0,9659.642857142857,14243.806451612903,11799.838709677419,8090.322580645161,11280.0,14321.266666666666,21845.600000000002,15336.0,16987.1,17168.387096774193,21787.1935483871,36513.5,30816.774193548386,22174.806451612905,13888.451612903225,14309.41935483871,7776.0,0.0,중곡2동
1819,7,104900040,5541,0.0,0.0,0.0,0.0,0.0,12.066666666666666,6564.428571428572,7936.25806451613,9205.354838709676,8965.419354838708,6661.290322580646,5301.333333333333,5677.241379310344,5248.9655172413795,4086.0,3893.5806451612902,3554.741935483871,4123.233333333334,4037.4193548387098,2410.064516129032,2233.2258064516127,1656.5806451612905,1247.5806451612905,209.67741935483872,구의2동
1820,7,104900041,5540,0.0,0.0,0.0,0.0,0.0,0.0,4131.071428571428,11271.0,10421.870967741936,10190.967741935483,6883.225806451614,7896.166666666666,14309.2,6243.103448275862,8234.0,6365.8064516129025,7360.290322580646,11603.966666666667,13287.741935483871,6416.354838709678,3405.483870967742,3463.225806451613,1783.741935483871,0.0,중곡2동
1821,7,104900042,5539,0.0,0.0,0.0,0.0,0.0,0.0,3859.533333333333,6209.967741935484,12923.870967741936,8773.741935483871,4904.290322580645,5096.4,6690.714285714286,5513.655172413793,5842.8,5158.193548387097,6922.580645161291,9457.5,12076.806451612903,10308.133333333331,6287.107142857143,5960.2692307692305,5863.846153846154,3888.3870967741937,자양3동
1822,7,104900043,5537,0.0,0.0,0.0,0.0,0.0,0.0,5881.785714285715,12126.483870967742,10976.225806451612,5904.516129032258,4487.741935483871,4261.766666666666,7835.200000000001,4083.7241379310344,3741.1,2893.548387096774,4423.5161290322585,5057.533333333333,3064.516129032258,1810.483870967742,1110.483870967742,645.4193548387096,348.38709677419354,0.0,중곡2동
1823,7,104900044,5536,0.0,0.0,0.0,0.0,0.0,152.0,16651.32,24545.333333333332,29224.666666666668,24549.0,19499.0,15804.5,15621.666666666666,15516.923076923078,12631.48148148148,13308.642857142857,14191.357142857143,13430.222222222223,11964.285714285714,10500.0,6596.0,5823.535714285714,4044.214285714286,778.8571428571429,중곡4동
1824,7,104900045,5535,0.0,0.0,0.0,0.0,0.0,0.0,1432.857142857143,5082.58064516129,8118.870967741935,7657.741935483871,4621.1612903225805,4725.6,4910.5,5396.275862068966,6054.333333333333,4681.354838709677,4535.41935483871,6340.4,5646.580645161291,4250.709677419355,2522.9032258064517,2759.9032258064517,1772.4516129032259,0.0,중곡1동
1825,7,104900046,5533,0.0,0.0,0.0,0.0,0.0,0.0,8059.142857142857,19806.774193548386,24694.451612903224,12477.516129032258,7504.58064516129,6691.1612903225805,7189.793103448275,8721.620689655172,7713.333333333333,7414.774193548387,8232.387096774193,8225.966666666665,7522.58064516129,5028.4838709677415,3128.5483870967746,3055.483870967742,2515.161290322581,754.8387096774194,광장동
1826,7,104900047,5531,0.0,0.0,0.0,0.0,0.0,304.0,6103.64,12482.22222222222,14101.0,13062.0,8898.5,8322.0,8220.925925925925,7947.692307692308,7054.62962962963,7729.392857142857,6831.571428571428,7660.6296296296305,7196.428571428572,7256.25,4369.0,3315.4642857142853,2113.642857142857,447.42857142857144,중곡4동
1827,7,104900048,5527,0.0,0.0,0.0,0.0,0.0,836.0,6988.76,14249.777777777777,13471.666666666668,11907.0,7529.5,5986.0,6942.962962962963,7342.153846153847,4837.962962962963,4893.428571428572,5000.428571428572,6773.000000000001,6232.142857142857,5043.75,2907.0,2473.7142857142853,1481.2142857142858,381.14285714285717,중곡4동
1828,7,104900049,5523,0.0,0.0,0.0,0.0,0.0,0.0,1622.72,3553.333333333333,2183.0,3192.0,1868.5,1733.75,1907.4074074074072,1343.5384615384617,1319.4444444444443,1686.75,1302.9285714285716,1678.7777777777778,1071.4285714285716,862.5,510.0,377.9285714285714,166.42857142857142,0.0,중곡4동
1829,7,104900050,5528,0.0,0.0,0.0,0.0,0.0,0.0,9571.42857142857,19275.870967741936,29004.129032258064,11846.516129032258,8808.90322580645,8576.516129032258,9352.275862068966,11684.379310344828,10833.333333333332,12672.193548387097,11173.806451612902,8492.466666666665,9666.516129032258,5157.419354838709,2994.193548387097,2890.322580645161,2606.2903225806454,660.483870967742,광장동
1830,7,104900051,5522,0.0,0.0,0.0,0.0,0.0,475.0,3485.1600000000003,9840.0,10364.333333333334,8358.0,6567.5,4799.75,5798.518518518518,6206.7692307692305,4099.074074074074,5152.928571428572,5704.714285714286,6174.814814814816,6428.571428571428,5700.0,2567.0,1322.7499999999998,915.3571428571428,232.00000000000003,중곡4동
1831,7,104900052,5518,0.0,0.0,0.0,0.0,0.0,0.0,3116.36,4045.333333333333,5683.666666666667,3927.0,2238.5,1131.5,1792.9629629629628,1362.4615384615386,950.0,1075.0714285714284,757.1071428571429,1447.2222222222224,1125.0,1050.0,697.0,274.85714285714283,33.285714285714285,0.0,중곡4동
1832,7,104900053,5517,0.0,0.0,0.0,0.0,0.0,1482.0,6454.0,17930.666666666664,18093.333333333336,14994.0,10767.0,8796.5,9708.703703703703,10086.0,7863.888888888889,9008.357142857143,8539.464285714286,10690.14814814815,9875.0,7987.5,4777.0,2971.892857142857,2513.0714285714284,646.2857142857143,중곡4동
1833,7,104900054,5514,0.0,0.0,0.0,0.0,0.0,19.0,3618.0,14742.774193548386,12498.064516129032,7714.483870967742,3723.935483870968,3659.8064516129034,3715.0344827586205,3425.689655172414,3882.6666666666665,3208.8387096774195,3264.258064516129,4264.0,4983.709677419354,3131.290322580645,3147.741935483871,1321.2903225806451,1202.9032258064517,452.9032258064516,광장동
1834,7,104900055,5513,0.0,0.0,0.0,0.0,0.0,0.0,4720.64,9858.222222222223,9715.333333333334,5502.0,2793.5,2463.75,2861.111111111111,2214.0,2304.6296296296296,1427.25,1479.0,2797.962962962963,1910.7142857142858,1162.5,442.0,584.0714285714286,183.07142857142856,0.0,중곡4동
1835,7,104900056,5512,0.0,0.0,0.0,0.0,0.0,933.3000000000001,3178.9285714285716,9645.58064516129,8679.612903225807,4030.967741935484,3456.7741935483873,4456.466666666666,6374.400000000001,2967.3103448275865,2864.0,3249.6774193548385,5488.096774193548,3521.366666666667,4609.032258064516,2027.741935483871,1406.6129032258066,865.8064516129033,891.8709677419355,45.96774193548387,중곡2동
1836,7,104900057,5509,0.0,0.0,0.0,0.0,0.0,38.0,918.8571428571429,2879.1290322580644,4051.0967741935483,1506.258064516129,661.6129032258065,702.3870967741935,868.6896551724137,777.7241379310345,780.0,634.516129032258,1363.0967741935483,1492.3999999999999,733.4516129032257,478.9032258064516,134.35483870967744,227.09677419354838,145.80645161290323,37.74193548387097,광장동
1837,7,104900058,5504,0.0,0.0,0.0,0.0,0.0,779.0,4115.714285714285,17131.838709677417,31094.32258064516,31061.483870967742,20302.06451612903,21348.870967741936,22123.862068965518,23553.93103448276,25133.333333333332,24818.645161290322,29880.516129032254,31908.93333333333,32647.999999999996,14422.354838709676,10594.83870967742,10363.870967741936,4775.1612903225805,1151.1290322580646,광장동
1838,7,104900059,5503,0.0,0.0,0.0,0.0,0.0,1387.0,1696.48,5120.444444444444,4444.666666666667,4137.0,4754.5,5931.25,6828.518518518518,7493.538461538462,6949.074074074074,8211.321428571428,9032.464285714286,5518.740740740741,4125.0,3768.75,1921.0,1082.25,166.42857142857142,0.0,중곡4동
1839,7,104900061,5752,0.0,0.0,0.0,0.0,0.0,0.0,954.0,5053.935483870968,5032.774193548386,4299.354838709677,4674.193548387097,4468.266666666666,5302.137931034483,5381.206896551725,5265.0,7408.4838709677415,6999.1935483870975,7615.066666666667,11016.387096774193,8243.612903225807,7398.774193548386,6728.580645161291,6384.677419354839,4686.290322580646,구의2동
1840,7,104900063,5744,0.0,0.0,0.0,0.0,0.0,0.0,1014.5714285714286,5574.4838709677415,11183.612903225805,7633.064516129032,4234.322580645161,3641.3225806451615,3585.655172413793,2759.0689655172414,3414.6666666666665,3770.8387096774195,5488.258064516129,4921.366666666667,7729.451612903225,6336.258064516129,4049.8387096774195,4521.290322580645,3080.161290322581,1547.4193548387098,광장동
1841,7,104900064,5742,0.0,0.0,0.0,0.0,0.0,0.0,1052.857142857143,2123.6129032258063,2262.5806451612902,2137.2580645161293,1379.9354838709676,1201.4516129032259,1090.4827586206895,907.3448275862069,1265.3333333333333,1522.8387096774193,1381.032258064516,1954.3333333333333,3385.1612903225805,3057.6129032258063,2437.5806451612907,2147.0967741935483,1786.1290322580646,641.6129032258065,광장동
