,x_index,y_index,격자 당 경로당 수,geometry,행정동,격자 당 어린이 보육시설 수,중심점,x,y
44,4,26,0,"POLYGON ((961588.0000000001 1947508.0000000007, 961787.9999999993 1947508, 961787.9999999992 1947308.0000000002, 961587.9999999998 1947308.0000000002, 961588.0000000001 1947508.0000000007))",자양3동,0,POINT (961687.9999999994 1947408.0000000002),961687.9999999994,1947408.0000000002
45,5,11,0,"POLYGON ((961787.9999999992 1950508.0000000014, 961988 1950508, 961988.0000000006 1950308.0000000002, 961788.0000000007 1950308.000000001, 961787.9999999992 1950508.0000000014))",군자동,0,POINT (961887.9999999999 1950408.000000001),961887.9999999999,1950408.000000001
46,5,12,0,"POLYGON ((961788.0000000007 1950308.000000001, 961988.0000000006 1950308.0000000002, 961988.0000000005 1950107.999999999, 961787.9999999991 1950107.9999999998, 961788.0000000007 1950308.000000001))",군자동,0,POINT (961888.0000000001 1950207.9999999998),961888.0000000001,1950207.9999999998
47,5,13,0,"POLYGON ((961787.9999999991 1950107.9999999998, 961988.0000000005 1950107.999999999, 961987.999999999 1949907.9999999993, 961788.0000000003 1949908, 961787.9999999991 1950107.9999999998))",군자동,1,POINT (961887.9999999998 1950007.9999999995),961887.9999999998,1950007.9999999995
48,5,14,0,"POLYGON ((961788.0000000003 1949908, 961987.999999999 1949907.9999999993, 961987.9999999994 1949708.0000000002, 961788.000000001 1949708.000000001, 961788.0000000003 1949908))",화양동,3,POINT (961887.9999999999 1949807.9999999998),961887.9999999999,1949807.9999999998
49,5,15,0,"POLYGON ((961788.000000001 1949708.000000001, 961987.9999999994 1949708.0000000002, 961988.0000000008 1949508.0000000005, 961788.0000000003 1949507.9999999998, 961788.000000001 1949708.000000001))",화양동,3,POINT (961888.0000000002 1949608),961888.0000000002,1949608.0
50,5,16,1,"POLYGON ((961788.0000000003 1949507.9999999998, 961988.0000000008 1949508.0000000005, 961988.0000000002 1949308, 961787.9999999994 1949308, 961788.0000000003 1949507.9999999998))",화양동,0,POINT (961888.0000000001 1949408.0000000002),961888.0000000001,1949408.0000000002
51,5,17,0,"POLYGON ((961787.9999999994 1949308, 961988.0000000002 1949308, 961988.000000001 1949108.0000000016, 961787.9999999995 1949108.0000000002, 961787.9999999994 1949308))",화양동,0,POINT (961888 1949208.0000000002),961888.0,1949208.0000000002
52,5,18,0,"POLYGON ((961787.9999999995 1949108.0000000002, 961988.000000001 1949108.0000000016, 961988.0000000001 1948907.9999999998, 961787.9999999998 1948907.9999999998, 961787.9999999995 1949108.0000000002))",자양4동,1,POINT (961888.0000000001 1949008.0000000002),961888.0000000001,1949008.0000000002
53,5,19,0,"POLYGON ((961787.9999999998 1948907.9999999998, 961988.0000000001 1948907.9999999998, 961988.000000001 1948707.9999999993, 961787.9999999992 1948707.9999999993, 961787.9999999998 1948907.9999999998))",자양4동,2,POINT (961888.0000000001 1948807.9999999995),961888.0000000001,1948807.9999999995
54,5,20,1,"POLYGON ((961787.9999999992 1948707.9999999993, 961988.000000001 1948707.9999999993, 961988.0000000006 1948508.0000000002, 961787.999999999 1948508.000000001, 961787.9999999992 1948707.9999999993))",자양4동,0,POINT (961887.9999999999 1948607.9999999998),961887.9999999999,1948607.9999999998
55,5,21,1,"POLYGON ((961787.999999999 1948508.000000001, 961988.0000000006 1948508.0000000002, 961988.0000000001 1948307.9999999998, 961788.0000000005 1948307.999999999, 961787.999999999 1948508.000000001))",자양3동,3,POINT (961887.9999999999 1948408.0000000005),961887.9999999999,1948408.0000000005
56,5,22,0,"POLYGON ((961788.0000000005 1948307.999999999, 961988.0000000001 1948307.9999999998, 961988.0000000009 1948108.0000000007, 961788.0000000005 1948108, 961788.0000000005 1948307.999999999))",자양3동,0,POINT (961888.0000000006 1948207.9999999998),961888.0000000006,1948207.9999999998
57,5,23,0,"POLYGON ((961788.0000000005 1948108, 961988.0000000009 1948108.0000000007, 961987.9999999999 1947908.0000000016, 961788.0000000001 1947908.0000000002, 961788.0000000005 1948108))",자양3동,0,POINT (961888.0000000003 1948008.0000000007),961888.0000000003,1948008.0000000007
58,5,24,0,"POLYGON ((961788.0000000001 1947908.0000000002, 961987.9999999999 1947908.0000000016, 961988.0000000005 1947708.0000000005, 961788.0000000008 1947707.9999999998, 961788.0000000001 1947908.0000000002))",자양3동,0,POINT (961888.0000000005 1947808.0000000005),961888.0000000005,1947808.0000000005
59,5,25,0,"POLYGON ((961788.0000000008 1947707.9999999998, 961988.0000000005 1947708.0000000005, 961987.9999999995 1947508, 961787.9999999993 1947508, 961788.0000000008 1947707.9999999998))",자양3동,0,POINT (961888.0000000002 1947608),961888.0000000002,1947608.0
